DATE_RANK,AMOUNT,CUST_NO
1.0,533.48,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
2.0,529.56,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
3.0,516.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
4.0,2176.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
5.0,4656.79,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
6.0,1123.38,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
7.0,961.8199999999999,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
8.0,970.98,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
9.0,636.1,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
10.0,1070.2600000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
11.0,1031.8100000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
12.0,1170.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
13.0,1095.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
14.0,1191.72,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
15.0,1297.3200000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
16.0,1158.2200000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
17.0,877.1,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
18.0,1421.0800000000004,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
19.0,1566.81,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
20.0,1340.1600000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
21.0,1166.12,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
24.0,112.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
25.0,223.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
26.0,512.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
27.0,403.96,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
28.0,514.58,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
29.0,455.28999999999996,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
30.0,455.28999999999996,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
31.0,318.84000000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
32.0,318.84,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
33.0,593.79,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
34.0,452.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
35.0,1813.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
36.0,1827.84,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
38.0,1826.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
39.0,1833.6,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
40.0,1833.6,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
